arrival_time,service_start_time,service_end_time,date,time_taken
2024-01-01 00:00:05.631217080,2024-01-01 00:00:05.631217080,2024-01-01 00:00:09.725822699,2024-01-01,4.094605619
2024-01-01 00:00:41.752674240,2024-01-01 00:00:41.752674240,2024-01-01 00:00:57.366071160,2024-01-01,15.61339692
2024-01-01 00:00:57.553622580,2024-01-01 00:00:57.553622580,2024-01-01 00:01:38.816458440,2024-01-01,41.26283586
2024-01-01 00:01:08.508933240,2024-01-01 00:01:08.508933240,2024-01-01 00:01:34.861088820,2024-01-01,26.35215558
2024-01-01 00:01:10.544431680,2024-01-01 00:01:10.544431680,2024-01-01 00:01:43.400308200,2024-01-01,32.85587652
2024-01-01 00:01:12.579587160,2024-01-01 00:01:12.579587160,2024-01-01 00:01:34.084341480,2024-01-01,21.50475432
2024-01-01 00:01:13.297652400,2024-01-01 00:01:13.297652400,2024-01-01 00:01:36.868729140,2024-01-01,23.57107674
2024-01-01 00:01:37.432422780,2024-01-01 00:01:37.432422780,2024-01-01 00:02:15.267862560,2024-01-01,37.83543978
2024-01-01 00:01:48.461408580,2024-01-01 00:01:48.461408580,2024-01-01 00:01:54.206198880,2024-01-01,5.7447903
2024-01-01 00:02:03.236409360,2024-01-01 00:02:03.236409360,2024-01-01 00:02:16.680762660,2024-01-01,13.4443533
2024-01-01 00:02:03.486001020,2024-01-01 00:02:03.486001020,2024-01-01 00:02:08.486263620,2024-01-01,5.0002626
2024-01-01 00:02:45.528690720,2024-01-01 00:02:45.528690720,2024-01-01 00:04:13.439859060,2024-01-01,87.91116834
2024-01-01 00:03:06.965845260,2024-01-01 00:03:06.965845260,2024-01-01 00:04:04.635121020,2024-01-01,57.66927576
2024-01-01 00:03:09.830096760,2024-01-01 00:03:09.830096760,2024-01-01 00:03:10.634598780,2024-01-01,0.80450202
2024-01-01 00:03:12.238244640,2024-01-01 00:03:12.238244640,2024-01-01 00:03:36.692875920,2024-01-01,24.45463128
2024-01-01 00:03:14.669581680,2024-01-01 00:03:14.669581680,2024-01-01 00:04:06.541252800,2024-01-01,51.87167112
2024-01-01 00:03:19.022626440,2024-01-01 00:03:19.022626440,2024-01-01 00:03:23.005682940,2024-01-01,3.9830565
2024-01-01 00:03:27.949760460,2024-01-01 00:03:27.949760460,2024-01-01 00:03:44.733818820,2024-01-01,16.78405836
2024-01-01 00:03:34.736205240,2024-01-01 00:03:34.736205240,2024-01-01 00:04:24.153510540,2024-01-01,49.4173053
2024-01-01 00:03:38.866881120,2024-01-01 00:03:38.866881120,2024-01-01 00:03:39.557591580,2024-01-01,0.69071046
2024-01-01 00:03:50.223331620,2024-01-01 00:03:50.223331620,2024-01-01 00:04:14.131540740,2024-01-01,23.90820912
2024-01-01 00:03:52.026145980,2024-01-01 00:03:52.026145980,2024-01-01 00:03:59.084045280,2024-01-01,7.0578993
2024-01-01 00:03:56.172332100,2024-01-01 00:03:56.172332100,2024-01-01 00:04:47.817305520,2024-01-01,51.64497342
2024-01-01 00:04:01.647658740,2024-01-01 00:04:01.647658740,2024-01-01 00:05:12.497057220,2024-01-01,70.84939848
2024-01-01 00:04:08.954875020,2024-01-01 00:04:08.954875020,2024-01-01 00:05:06.698348640,2024-01-01,57.74347362
2024-01-01 00:04:27.410107140,2024-01-01 00:04:27.410107140,2024-01-01 00:04:40.267335240,2024-01-01,12.8572281
2024-01-01 00:04:30.082937460,2024-01-01 00:04:30.082937460,2024-01-01 00:05:09.699151620,2024-01-01,39.61621416
2024-01-01 00:04:38.747287320,2024-01-01 00:04:38.747287320,2024-01-01 00:05:15.975832800,2024-01-01,37.22854548
2024-01-01 00:04:49.517343960,2024-01-01 00:04:49.517343960,2024-01-01 00:04:57.204154379,2024-01-01,7.686810419
2024-01-01 00:04:50.088110160,2024-01-01 00:04:50.088110160,2024-01-01 00:05:25.400061000,2024-01-01,35.31195084
2024-01-01 00:05:01.312106460,2024-01-01 00:05:01.312106460,2024-01-01 00:05:02.066302380,2024-01-01,0.75419592
2024-01-01 00:05:03.555641460,2024-01-01 00:05:03.555641460,2024-01-01 00:05:21.695814240,2024-01-01,18.14017278
2024-01-01 00:05:04.362808620,2024-01-01 00:05:04.362808620,2024-01-01 00:05:09.590333460,2024-01-01,5.22752484
2024-01-01 00:05:40.047062160,2024-01-01 00:05:40.047062160,2024-01-01 00:05:42.616617480,2024-01-01,2.56955532
2024-01-01 00:06:20.494626240,2024-01-01 00:06:20.494626240,2024-01-01 00:06:22.096133100,2024-01-01,1.60150686
2024-01-01 00:06:40.322605140,2024-01-01 00:06:40.322605140,2024-01-01 00:07:04.156164120,2024-01-01,23.83355898
2024-01-01 00:06:44.682059460,2024-01-01 00:06:44.682059460,2024-01-01 00:06:52.988579700,2024-01-01,8.30652024
2024-01-01 00:06:45.915387240,2024-01-01 00:06:45.915387240,2024-01-01 00:07:11.718115980,2024-01-01,25.80272874
2024-01-01 00:06:59.748396360,2024-01-01 00:06:59.748396360,2024-01-01 00:07:01.100195040,2024-01-01,1.35179868
2024-01-01 00:07:06.709486500,2024-01-01 00:07:06.709486500,2024-01-01 00:07:14.284694100,2024-01-01,7.5752076
2024-01-01 00:07:08.271313320,2024-01-01 00:07:08.271313320,2024-01-01 00:07:23.779783620,2024-01-01,15.5084703
2024-01-01 00:07:16.473880020,2024-01-01 00:07:16.473880020,2024-01-01 00:07:47.755826699,2024-01-01,31.281946679
2024-01-01 00:07:16.893804720,2024-01-01 00:07:16.893804720,2024-01-01 00:07:24.570396840,2024-01-01,7.67659212
2024-01-01 00:07:45.698879340,2024-01-01 00:07:45.698879340,2024-01-01 00:08:05.363061060,2024-01-01,19.66418172
2024-01-01 00:07:49.292372700,2024-01-01 00:07:49.292372700,2024-01-01 00:08:32.719605900,2024-01-01,43.4272332
2024-01-01 00:08:02.327442240,2024-01-01 00:08:02.327442240,2024-01-01 00:08:21.462572400,2024-01-01,19.13513016
2024-01-01 00:08:06.810001260,2024-01-01 00:08:06.810001260,2024-01-01 00:08:12.114314100,2024-01-01,5.30431284
2024-01-01 00:08:15.619332000,2024-01-01 00:08:15.619332000,2024-01-01 00:08:16.113400260,2024-01-01,0.49406826
2024-01-01 00:08:25.114017540,2024-01-01 00:08:25.114017540,2024-01-01 00:09:05.933651280,2024-01-01,40.81963374
2024-01-01 00:08:27.566680740,2024-01-01 00:08:27.566680740,2024-01-01 00:08:27.996658020,2024-01-01,0.42997728
2024-01-01 00:09:09.480366360,2024-01-01 00:09:09.480366360,2024-01-01 00:09:51.021521700,2024-01-01,41.54115534
2024-01-01 00:09:27.387310860,2024-01-01 00:09:27.387310860,2024-01-01 00:09:42.442585260,2024-01-01,15.0552744
2024-01-01 00:10:01.048443900,2024-01-01 00:10:01.048443900,2024-01-01 00:10:57.008280780,2024-01-01,55.95983688
2024-01-01 00:10:28.074267900,2024-01-01 00:10:28.074267900,2024-01-01 00:11:00.141718380,2024-01-01,32.06745048
2024-01-01 00:10:39.006920820,2024-01-01 00:10:39.006920820,2024-01-01 00:12:42.650809020,2024-01-01,123.6438882
2024-01-01 00:11:09.600145380,2024-01-01 00:11:09.600145380,2024-01-01 00:11:18.237717720,2024-01-01,8.63757234
2024-01-01 00:11:10.712010900,2024-01-01 00:11:10.712010900,2024-01-01 00:11:39.862516080,2024-01-01,29.15050518
2024-01-01 00:11:13.329627240,2024-01-01 00:11:13.329627240,2024-01-01 00:11:23.610607320,2024-01-01,10.28098008
2024-01-01 00:11:13.885010820,2024-01-01 00:11:13.885010820,2024-01-01 00:11:26.958756900,2024-01-01,13.07374608
2024-01-01 00:11:18.607395840,2024-01-01 00:11:18.607395840,2024-01-01 00:11:38.358054000,2024-01-01,19.75065816
2024-01-01 00:11:24.512959380,2024-01-01 00:11:24.512959380,2024-01-01 00:12:05.891240640,2024-01-01,41.37828126
2024-01-01 00:11:28.311684660,2024-01-01 00:11:28.311684660,2024-01-01 00:12:51.119625420,2024-01-01,82.80794076
2024-01-01 00:11:49.486379040,2024-01-01 00:11:49.486379040,2024-01-01 00:12:18.730321260,2024-01-01,29.24394222
2024-01-01 00:11:54.781103040,2024-01-01 00:11:54.781103040,2024-01-01 00:12:05.598786900,2024-01-01,10.81768386
2024-01-01 00:11:58.738737120,2024-01-01 00:11:58.738737120,2024-01-01 00:12:09.680128620,2024-01-01,10.9413915
2024-01-01 00:12:08.127622140,2024-01-01 00:12:08.127622140,2024-01-01 00:12:34.883977680,2024-01-01,26.75635554
2024-01-01 00:12:09.950399880,2024-01-01 00:12:09.950399880,2024-01-01 00:12:15.406982280,2024-01-01,5.4565824
